Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Email,Website,Minister/Pastor,URL,Presbytery,pcharge_status,Latitude,Longitude,Attempt,Lat_adj,Lon_adj
Blayney,Unknown,Unknown,Unknown,Adelaide St,Blayney,New South Wales,2799,Unknown,Unknown,http://orangepresbyterian.org.au,Angus Gibb,https://preskey.org.au/index.php/new-south-wales-act/item/blayney?category_id=48,unknown,Preaching Centre,-33.53252,149.25523,0,-33.5260706,149.2566691
Bomaderry,Unknown,8.00 (4th Sun),Unknown,Meroo St,Bomaderry,New South Wales,2541,Unknown,Unknown,Unknown,Fred Monckton,https://preskey.org.au/index.php/new-south-wales-act/item/bomaderry?category_id=48,Presbytery of the Illawarra,Full (Sanctioned) Charge,-34.85301,150.60971,0,-34.855813,150.6082007
Bondi,Unknown,10.00,7.00,Cnr Castlefield & Miller Sts,Bondi,New South Wales,2026,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bondi?category_id=48,Presbytery of Sydney East,Full (Sanctioned) Charge,-33.89329,151.2677,0,-33.8930556,151.2633333
Bonnyrigg Christian PC,Unknown,Unknown,Unknown,14 - 16 Bibby's Place,Bonnyrigg,New South Wales,2177,Unknown,Unknown,Unknown,Edwin Kwok,https://preskey.org.au/index.php/new-south-wales-act/item/bonnyrigg-christian-pc?category_id=48,unknown,Full (Sanctioned) Charge,-33.88424,150.89003,0,-33.8936698,150.888281
Botany-Mascot,Unknown,10.30,Unknown,768 Botany Rd,Mascot,New South Wales,2020,Unknown,Unknown,Unknown,(Noah) Yoon Nam,https://preskey.org.au/index.php/new-south-wales-act/item/botany-mascot?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.92424,151.19546,0,-33.9289562,151.1951782
Bowenfels,Unknown,10.00,Unknown,15 Mudgee St,Bowenfels,New South Wales,2790,Unknown,Unknown,http://bowenfelspresbyterianparish.org.au,Stephen Fong,https://preskey.org.au/index.php/new-south-wales-act/item/bowenfels?category_id=48,Presbytery of Central Tablelands,Full (Sanctioned) Charge,-33.51165,150.12194,0,-33.5119209,150.1220601
"Bowral, St Andrew's",Unknown,9.30,Unknown,10-12 Bendooley St,Bowral,New South Wales,2576,Unknown,Unknown,https://www.facebook.com/BowralPresbyterianChurch/,Andy Warner,https://preskey.org.au/index.php/new-south-wales-act/item/bowral-st-andrew-s?category_id=48,Presbytery of the Illawarra,Home Mission Charge,-34.47869,150.42066,0,-34.4816626,150.4177868
"Burwood, St James'",Unknown,9.30,Unknown,46 - 48 Belmore St,Burwood,New South Wales,2134,Unknown,Unknown,http://www.burwoodbpc.org.au,David Fitzgerald Maher,https://preskey.org.au/index.php/new-south-wales-act/item/burwood-st-james?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.87888,151.10092,0,-33.8793519,151.1065334
Byron Bay,Unknown,9.30,Unknown,13 Ruskin St,Byron Bay,New South Wales,2481,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/byron-bay?category_id=48,Presbytery of the Northern Rivers,Full (Sanctioned) Charge,-28.64889,153.61434,0,-28.6483333,153.6177778
Camden,Unknown,9.30,Unknown,42 John St,Camden,New South Wales,2570,Unknown,Unknown,http://www.camdenpreschurch.org/,John Murray,https://preskey.org.au/index.php/new-south-wales-act/item/camden?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-34.05362,150.69563,0,-34.016087,150.71988490858
