Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Website,URL
Korean (Ashfield),Unknown,8.30,12.00,Cnr Knox St & Liverpool Rd,Ashfield,New South Wales,2131,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/korean-hallelujah?category_id=48
Carlingford-Rainbow (Korean),Unknown,12.00,2.30,203 Marsden Rd,Carlingford,New South Wales,2118,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/korean-rainbow?category_id=48
Sydney Urim (Korean),Unknown,11.30,1.30,37 Anderson St,Chatswood,New South Wales,2067,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/korean-urim?category_id=48
Sydney Young Nak (Korean),Unknown,9.30 & 11.00,1.15 (english); 3.00,7-9 Manson St,Telopea,New South Wales,2117,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/korean-young-nak?category_id=48
Krambach,Unknown,11.15 Last Sun of month,Unknown,Unknown,Krambach,New South Wales,2429,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/krambach?category_id=48
"Kyogle, Gateway Presbyterian Church",Unknown,9.30,Unknown,Stratheden St,Kyogle,New South Wales,2474,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/kyogle?category_id=48
"Lakemba, Samoan",Unknown,11.30,Unknown,1003 Canterbury Rd,Lakemba,New South Wales,2195,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/lakemba-samoan?category_id=48
Lawrence,Unknown,Unknown,Unknown,Richmond St,Lawrence,New South Wales,2460,Unknown,http://lowerclarencepresbyterian.com/,https://preskey.org.au/index.php/new-south-wales-act/item/lawrence?category_id=48
Leeton,Unknown,10.00,Unknown,Cnr Sycamore & Cypress Sts,Leeton,New South Wales,2705,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/leeton?category_id=48
"Lismore, St Paul's",Unknown,9.00,7.00,188 Keen St,Lismore,New South Wales,2480,Unknown,http://www.lpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/lismore-st-paul-s?category_id=48
